prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
afblijven,afbli*ven,afblijven,afblijven,afbli*ven,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
kabouter,kabouter,kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
washandje,was vanen tia,was*han*d*je*,was*ha**n********dj*e,was vanen tia azantia,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
sneeuwwitje,azantia snee** weet je,********sneeuw*wi*t*je,snee*uw*wit*j*****e*,snee *we*et je goeen,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
goeiendag,goeen goeiendag,goe******iendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
limonade,*imonade,limonade,limonade,*imonade,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
autorijden,auteure*de*,auto*rijden,aut*orijden,auteure*de*,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
eindelijk,e*ndelijk,eindelijk,eindelijk,e*ndelijk,CORRECTLY_READ,0,1,S03C029V2_3+4LG,FP
familie,familie,familie,familie,familie,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
chocolade,chocolade,chocolade,chocolade,chocolade,CORRECTLY_READ,0,0,S03C029V2_3+4LG,TN
klas,klas,klas,klas,klas,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
koe,koe,koe,koe,koe,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
groei,gro*i,groei,groei,gro*i,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
bed,pit,bed,bed,pit,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
draai,draai,draai,draai,draai,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
sjaal,sjaal,sjaal,sjaal,sjaal,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
herfst,herfst,herfst,herfst,herfst,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
duur,tuur,duur,duur,tuur,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
leeuw,lee*l,leeuw,leeuw,lee*l,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
clown,klouw*,clo*wn,clo*wn,klouw*,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
hoek,hook,hoek,hoek,hook,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
krant,krant,krant,krant,krant,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
hout,gaut,hout,hout,gaut,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
vriend,vreemt,vriend,vriend,vreemt,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
gauw,g*el,gauw,gauw,ge*l,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
chips,*cheeps,chi*ps,ch*ips,*cheeps,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
groen,groeen,groe*n,gro*en,groeen,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
feest,feest,feest,feest,feest,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
reis,re*s,reis,reis,re*s,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
huis,h*as,huis,huis,ha*s,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
paard,p*art,paard,paard,pa*rt,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
vijf,fe*r,vijf,vijf,fer*,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
muts,mut*,muts,muts,mut*,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
nieuw,******,nieuw,nieuw,*i**t,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
kind,*i*t,kind,kind,****,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
bang,bang,bang,bang,*bang,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
oog,*og,oog,oog,o*g,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
zacht,ze*gt,zacht,zacht,zeg*t,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
neus,ne is,ne*us,ne*us,ne is,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
knoop,kn*op,knoop,knoop,kno*p,CORRECTLY_READ,0,1,S03C030V2_1LG,FP
plank,plank,plank,plank,plank,CORRECTLY_READ,0,0,S03C030V2_1LG,TN
water,water,water,water,water,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
drogen,droge*,drogen,drogen,droge*,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
winkel,linkel,winkel,winkel,linkel,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
schouder,schouders,schouder*,schouder*,schouders,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
regen,plegen,r*egen,*regen,plegen,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
vliegtuig,vliegtuig,vliegtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
gooien,gooien,gooien,gooien,gooien,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
schreeuwen,s**neeuwwin,schreeuw*en,schreeu*wen,sn**eeuwwin,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
moeder,mo*der,moeder,moeder,mo*der,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
liedje,li*tje,liedje,liedje,li*tje,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
potlood,potnoot,potlood,potlood,potnoot,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
fietsbel,fietsbil,fietsbel,fietsbel,fietsbil,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
vinger,vin*er,vinger,vinger,vin*er,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
dichtbij,dichtbij,dichtbij,dichtbij,dichtbij,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
meisje,n*ache,meisje,meisje,na*che,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
chauffeur,chauffeur,chauffeur,chauffeur,chauffeur,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
scheuren,scheuren,scheuren,scheuren,scheuren,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
lawaai,lawaai,lawaai,lawaai,lawaai,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
zwemmen,twimmen,zwemmen,zwemmen,twimmen,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
vuurwerk,vuurwerk,vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
appel,appul,appel,appel,appul,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
cola,cola,cola,cola,cola,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
kussen,cu*sen,kussen,kussen,cus*en,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
circus,circus,circus,circus,circus,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S03C030V2_2LG,TN
vlinder,*vreende*,vli*nder,vl*inder,*vreende*,CORRECTLY_READ,0,1,S03C030V2_2LG,FP
omdraaien,omdraaien,omdraaien,omdraaien,omdraaien,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
poppenwagen,koppenwagen,poppenwagen,poppenwagen,koppenwagen,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
konijnenhok,konijnenhok,konijnenhok,konijnenhok,konijnenhok,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
elastiekje,en lastiekje,e**lastiekje,e**lastiekje,en lastiekje,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
ruziemaken,ruzie maken,ruzie*maken,ruzie*maken,ruzie maken,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
teddybeer,dibbibeer,teddybeer,teddybeer,dibbibeer,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
dierentuin,dierentuin,dierentuin,dierentuin,dierentuin,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
paddenstoelen,wa*t is sto*len,padd*en*stoelen,pad*den*stoelen,wat *is sto*len,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
verstoppetje,verstopperd je,verstoppet**je,verstoppe*t*je,verstopperd je,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
wasmachine,wasmachine,wasmachine,wasmachine***,wasmachine nu,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
fototoestel,nu fototo*stel,***fototoestel,fototoestel,fototo*stel,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
toiletpapier,toiletpapier,toiletpapier,toiletpapier,toiletpapier,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
buurmannen,buurmannen,buurmannen,buurmannen,buurmannen,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
vogelkooi,vogel koai,vogel*kooi,vogel*kooi,vogel koai,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
olifant,olifand,olifant,olifant,olifand,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
schommelen,schommelen,schommelen,schommelen,schommelen,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
iedereen,**dereen,iedereen,iedereen,**dereen,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
schoenenwinkel,scho*nen winkel,schoenen*winkel,schoenen*winkel,scho*nen winkel,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
knutselen,knutsjelen,knuts*elen,knuts*elen,knutsjelen,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
ophangen,ophangen,ophangen,ophangen,ophangen,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
verjaardag,verjaardag,verjaardag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
sprookjesboek,sprookjesbook,sprookjesboek,sprookjesboek,sprookjesbook,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
tandenborstel,tandenborstel,tandenborstel,tandenborstel,tandenborstel,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
lucifer,lucifer,lucifer,lucifer,lucifer,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
achterdeur,echterdeur,achterdeur,achterdeur,echterdeur,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
afblijven,afblijven,afblijven,afblijven,afblijven,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
kabouter,kabauter,kabouter,kabouter,kabauter,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
sneeuwwitje,*sneeu*witje,sneeuwwitje,sneeuwwitje,*sneeuw*itje,CORRECTLY_READ,0,1,S03C030V2_3+4LG,FP
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
limonade,limonade,limonade,limonade,limonade,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
autorijden,autorijden,autorijden,autorijden,autorijden,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
eindelijk,eindelijk,eindelijk,eindelijk,eindelijk,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
familie,familie,familie,familie,familie,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
chocolade,chocolade,chocolade,chocolade,chocolade,CORRECTLY_READ,0,0,S03C030V2_3+4LG,TN
klas,*was,klas,klas,w*as,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
koe,koe,koe,koe,koe,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
strand,strant,strand,strand,strant,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
bed,mit,bed,bed,mit,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
draai,draai,draai,draai,draai,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
sjaal,ch*al,sjaal,sjaal,cha*l,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
herfst,herfstt,herfst*,herfs*t,herfstt,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
duur,kuur,duur,duur,kuur,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
leeuw,lee**,leeuw,leeuw,lee**,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
clown,kla*an,clow*n,cl*own,klaa*n,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
krant,krant,krant,krant,krant,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
hout,g*elt,hou*t,ho*ut,gel*t,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
vriend,vreemd,vriend,vriend,vreemd,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
gauw,g**l,gauw,gauw,g**l,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
chips,chips,chips,chips,chips,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
groen,groeen,groe*n,gro*en,groeen,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
feest,v*rijst,fe*e*st,*fe*est,vrij*st,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
reis,r**s,reis,reis,r**s,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
huis,g*es,huis,huis,ge*s,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
paard,*et art,pa**ard,*p*aard,et a*rt,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
vijf,ni**,vijf,vijf,ni**,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
muts,nits,muts,muts,nits,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
nieuw,nie*w,nieuw,nieuw,nie*w,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
bang,*en*,bang,bang,*en*,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
oog,*och,oog*,o*og,oc*h,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
zacht,ze*gt,zacht,zacht,zeg*t,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
schoen,schoon,schoen,schoen,schoon,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
plas,klas,plas,plas,klas,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
neus,nees,neus,neus***,nees oh,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
knoop,oh kn*op,***knoop,knoop,kno*p,CORRECTLY_READ,0,1,S03C031V2_1LG,FP
plank,plank,plank,plank,plank,CORRECTLY_READ,0,0,S03C031V2_1LG,TN
water,water,water,water,water,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
drogen,drogen,drogen,drogen,drogen,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
winkel,binkal,winkel,winkel,binkal,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
auto,autal,auto*,auto*,autal,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
schouder,schouder,schouder,schouder,schouder,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
verhaal,vorhaal,verhaal,verhaal,vorhaal,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
koning,*bonin*,koning,koning,*bonin*,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
hoofdpijn,hoofdpe*n,hoofdpijn,hoofdpijn,hoofdpe*n,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
regen,regen,regen,regen,regen,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
vliegtuig,vliegtuig,vliegtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
stoppen,sto*p en,stopp*en,stop*pen,stop *en,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
gooien,goh goei en,go***o*i*en,go***o*i*en******,goh goei en goi e,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
schreeuwen,*goi e sneeuw en,sc*****hreeuw*en,schreeuw*e****n***,sn**eeuw en tontas,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
moeder,tontas moeder,*******moeder,moeder,moeder,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
liedje,hi**ta,liedje,li*e*d*je,hita pot*,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
potlood,pot boterlout,pot*lo****o*d,pot**lood,boterlout,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
fietsbel,fi*tsbel,fietsbel,fietsbel,fi*tsbel,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
vinger,vin*er,vinger,vinger,vin*er,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
dichtbij,di**g bij,dicht*bij,dic*htbij,dig **bij,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
meisje,me*che,meisje,meisje,me*che,e/4,1,1,S03C031V2_2LG,TP
chauffeur,schaschaufleur,*cha****uffeur,*****chauffeur,schaschaufleur,g/33/6,1,1,S03C031V2_2LG,TP
muziek,wizeeik,muzie*k,muzie*k,wizeeik,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
scheuren,s**e*rom,scheuren,scheuren,s**e*rom,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
lawaai,**w*ai,lawaai,lawaai,**wa*i,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
zwemmen,swennen,zwemmen,zwemmen,swennen,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
vuurwerk,vierwerk,vuurwerk,vuurwerk,vierwerk,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
appel,a*bol,appel,appel,ab*ol,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
cola,kola,cola,cola,kola,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
kussen,kushen,kussen,kussen,kushen,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
circus,seerkus,ci*rcus,c*ircus,seerkus,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
kleuren,kle*ren,kleuren,kleuren,kle*ren,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
voetbal,voor de bel,voet****bal,v*o***e*tbal,voor de *bel,CORRECTLY_READ,0,1,S03C031V2_2LG,FP
vlinder,vlinder,vlinder,vlinder,vlinder,CORRECTLY_READ,0,0,S03C031V2_2LG,TN
klas,kelas,k*las,k*las,kelas,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
koe,koel,koe*,koe*,koel,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
bed,bet,bed,bed,bet,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
draai,dr*ai,draai,draai,dra*i,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
sjaal,schaan,sj*aal,s*jaal,schaan,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
herfst,herfst,herfst,herfst,herfst,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
duur,duur,duur,duur,duur,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
leeuw,leeuwe,leeuw*,leeuw*,leeuwe,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
clown,klouwen,clo*w*n,clo*w*n,klouwen,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
hoek,hook,hoek,hoek,hook,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
krant,krand,krant,krant,krand,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
hout,h*elt,hou*t,ho*ut,hel*t,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
vriend,vreemd,vriend,vriend,vreemd,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
gauw,g*el,gauw,g******au*w,gel schieps,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
chips,schieps,*chi*ps,chips,ships,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
groen,ships groen,******groen,groen,groen,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
feest,feest,feest,feest,feest,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
reis,ve*s,reis,reis,ve*s,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
huis,huis,huis,huis,huis,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
paard,v*aft,paard,paard,va*ft,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
vijf,vijf,vijf,vijf***,vijf mx,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
muts,mx mut*,m***uts,muts,mut*,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
nieuw,k*meew,ni*euw,*nieuw,kmee*w,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
bang,ben*,bang,bang,ben*,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
oog,ouch,oog*,oo*g,ouch,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
zacht,ze*gt,zacht,zacht,zeg*t,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
schoen,scho*ne,schoen*,scho*en,schone*,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S03C032V2_1LG,TN
neus,n*uis,neu*s,neus,nuis,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
knoop,kn*op,knoop,knoop,kno*p,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
plank,telank,p*lank,p*lank,telank,CORRECTLY_READ,0,1,S03C032V2_1LG,FP
water,water,water,water,water,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
drogen,droken,drogen,drogen,droken,CORRECTLY_READ,0,1,S03C032V2_2LG,FP
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
auto,oudo,auto,auto,oudo,CORRECTLY_READ,0,1,S03C032V2_2LG,FP
schouder,*schouders,schouder*,schouder*,*schouders,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S03C032V2_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,21,1,0,S03C032V2_2LG,FN
drinken,dlinken,drinken,drinken,dlinken,CORRECTLY_READ,0,1,S03C032V2_2LG,FP
